event_type,event_cause,corridor,zone,police_station,veh_type,hour,day_of_week,month,is_weekend,is_peak_hour,priority,requires_road_closure,resolution_minutes
unplanned,vehicle_breakdown,Tumkur Road,unknown,Peenya,lcv,17.0,3.0,3.0,0,0,High,False,
unplanned,vehicle_breakdown,ORR East 1,unknown,HSR Layout,heavy_vehicle,4.0,1.0,1.0,0,0,High,False,
unplanned,others,Non-corridor,Central Zone 2,Wilson Garden,unknown,6.0,5.0,11.0,1,1,Low,False,115117.99897515001
unplanned,tree_fall,Non-corridor,unknown,Sadashivanagar,unknown,17.0,3.0,3.0,0,0,Low,True,9465.174807333333
unplanned,vehicle_breakdown,Non-corridor,unknown,Wilson Garden,private_bus,4.0,1.0,1.0,0,0,Low,False,38.74983805
unplanned,accident,Non-corridor,North Zone 1,Hebbala,unknown,3.0,1.0,11.0,0,0,Low,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Kengeri,bmtc_bus,7.0,1.0,1.0,0,1,Low,False,
unplanned,others,Non-corridor,unknown,Cubbon Park,unknown,6.0,1.0,1.0,0,1,Low,False,24202.316523816666
planned,public_event,CBD 2,unknown,Cubbon Park,unknown,,,,0,0,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Hennuru,lcv,5.0,1.0,1.0,0,1,Low,False,
unplanned,water_logging,ORR East 2,unknown,K.R. Pura,unknown,18.0,3.0,3.0,0,0,High,False,9348.299649083334
unplanned,vehicle_breakdown,ORR West 1,unknown,Byatarayanapura,private_car,5.0,1.0,1.0,0,1,High,False,
unplanned,water_logging,ORR East 2,unknown,Mahadevapura,unknown,18.0,3.0,3.0,0,0,High,False,
unplanned,others,ORR North 1,North Zone 1,Hebbala,unknown,19.0,1.0,12.0,0,1,High,False,103674.87131448333
unplanned,pot_holes,Old Madras Road,unknown,Halasur,unknown,19.0,3.0,3.0,0,1,High,False,
unplanned,others,Bellary Road 2,unknown,Kodigehalli,unknown,19.0,3.0,3.0,0,1,High,False,
unplanned,others,Bellary Road 2,unknown,Kodigehalli,unknown,19.0,3.0,3.0,0,1,High,False,
unplanned,others,ORR North 1,unknown,Hennuru,unknown,19.0,3.0,3.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,Jayanagara,unknown,19.0,3.0,3.0,0,1,Low,False,293.3450075
unplanned,vehicle_breakdown,Bellary Road 1,unknown,Sadashivanagar,ksrtc_bus,4.0,1.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Madiwala,heavy_vehicle,19.0,3.0,3.0,0,1,High,False,27.2487523
unplanned,tree_fall,Non-corridor,unknown,Jayanagara,unknown,19.0,3.0,3.0,0,1,Low,True,2928.5208131000004
unplanned,pot_holes,Non-corridor,South Zone 1,Jayanagara,unknown,22.0,4.0,1.0,0,1,Low,False,89112.40243683333
unplanned,pot_holes,unknown,unknown,Jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,
unplanned,water_logging,Non-corridor,unknown,Whitefield,unknown,19.0,3.0,3.0,0,1,Low,False,
unplanned,tree_fall,Non-corridor,unknown,Wilson Garden,unknown,6.0,3.0,3.0,0,1,Low,True,843.3240253
unplanned,pot_holes,unknown,unknown,Shivajinagar,unknown,8.0,1.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,Mico Layout,bmtc_bus,8.0,1.0,1.0,0,0,High,False,
unplanned,pot_holes,unknown,unknown,HAL Old Airport,unknown,8.0,1.0,1.0,0,0,Low,False,9.079776783333333
