event_type,event_cause,corridor,zone,police_station,veh_type,hour,day_of_week,month,is_weekend,is_peak_hour,priority,requires_road_closure,resolution_minutes,time_unspecified,cause_speed
unplanned,vehicle_breakdown,tumkur road,unknown,peenya,lcv,17.0,3.0,3.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,hsr layout,heavy_vehicle,4.0,1.0,1.0,0,0,High,False,,0,fast
unplanned,others,non-corridor,central zone 2,wilson garden,unknown,6.0,5.0,11.0,1,1,Low,False,115117.99897515,0,fast
unplanned,tree_fall,non-corridor,unknown,sadashivanagar,unknown,17.0,3.0,3.0,0,0,Low,True,9465.174807333333,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,wilson garden,private_bus,4.0,1.0,1.0,0,0,Low,False,38.74983805,0,fast
unplanned,accident,non-corridor,north zone 1,hebbala,unknown,3.0,1.0,11.0,0,0,Low,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,kengeri,bmtc_bus,7.0,1.0,1.0,0,1,Low,False,,0,fast
unplanned,others,non-corridor,unknown,cubbon park,unknown,6.0,1.0,1.0,0,1,Low,False,24202.316523816666,0,fast
planned,public_event,cbd 2,unknown,cubbon park,unknown,8.0,3.0,3.0,0,0,High,False,,1,fast
unplanned,vehicle_breakdown,non-corridor,unknown,hennuru,lcv,5.0,1.0,1.0,0,1,Low,False,,0,fast
unplanned,water_logging,orr east 2,unknown,k.r. pura,unknown,18.0,3.0,3.0,0,0,High,False,9348.299649083334,0,slow
unplanned,vehicle_breakdown,orr west 1,unknown,byatarayanapura,private_car,5.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,water_logging,orr east 2,unknown,mahadevapura,unknown,18.0,3.0,3.0,0,0,High,False,,0,slow
unplanned,others,orr north 1,north zone 1,hebbala,unknown,19.0,1.0,12.0,0,1,High,False,103674.87131448332,0,fast
unplanned,pot_holes,old madras road,unknown,halasur,unknown,19.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,others,bellary road 2,unknown,kodigehalli,unknown,19.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,others,bellary road 2,unknown,kodigehalli,unknown,19.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,others,orr north 1,unknown,hennuru,unknown,19.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,19.0,3.0,3.0,0,1,Low,False,293.3450075,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,sadashivanagar,ksrtc_bus,4.0,1.0,1.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,madiwala,heavy_vehicle,19.0,3.0,3.0,0,1,High,False,27.2487523,0,fast
unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,19.0,3.0,3.0,0,1,Low,True,2928.5208131000004,0,fast
unplanned,pot_holes,non-corridor,south zone 1,jayanagara,unknown,22.0,4.0,1.0,0,1,Low,False,89112.40243683333,0,slow
unplanned,pot_holes,unknown,unknown,jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,,0,slow
unplanned,water_logging,non-corridor,unknown,whitefield,unknown,19.0,3.0,3.0,0,1,Low,False,,0,slow
unplanned,tree_fall,non-corridor,unknown,wilson garden,unknown,6.0,3.0,3.0,0,1,Low,True,843.3240253,0,fast
unplanned,pot_holes,unknown,unknown,shivajinagar,unknown,8.0,1.0,1.0,0,0,High,False,,0,slow
unplanned,vehicle_breakdown,bannerghata road,unknown,mico layout,bmtc_bus,8.0,1.0,1.0,0,0,High,False,,0,fast
unplanned,pot_holes,unknown,unknown,hal old airport,unknown,8.0,1.0,1.0,0,0,Low,False,9.079776783333331,0,slow
unplanned,pot_holes,unknown,unknown,jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,,0,slow
unplanned,pot_holes,non-corridor,unknown,jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,,0,slow
unplanned,vehicle_breakdown,bannerghata road,unknown,mico layout,bmtc_bus,8.0,1.0,1.0,0,0,High,True,,0,fast
unplanned,vehicle_breakdown,bannerghata road,unknown,j.p. nagar,lcv,5.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,20.0,3.0,3.0,0,1,Low,False,2907.6902057166667,0,fast
unplanned,congestion,orr north 2,unknown,kodigehalli,unknown,5.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,pot_holes,unknown,unknown,jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,,0,slow
unplanned,vehicle_breakdown,magadi road,unknown,magadi road,bmtc_bus,20.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,accident,non-corridor,unknown,electronic city,unknown,3.0,1.0,1.0,0,0,Low,False,,0,fast
unplanned,vehicle_breakdown,bannerghata road,unknown,mico layout,heavy_vehicle,15.0,1.0,1.0,0,0,High,False,,0,fast
unplanned,pot_holes,unknown,unknown,jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,,0,slow
planned,construction,orr east 1,unknown,hal old airport,unknown,11.0,1.0,1.0,0,0,High,False,,0,slow
unplanned,others,bellary road 1,unknown,high ground,unknown,20.0,3.0,3.0,0,1,High,True,106.41915116666668,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,hal old airport,bmtc_bus,20.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,chikkabanavara,lcv,18.0,3.0,3.0,0,0,Low,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,west zone 1,peenya,bmtc_bus,6.0,3.0,12.0,0,1,Low,False,,0,fast
planned,construction,non-corridor,unknown,k.g. halli,unknown,21.0,1.0,1.0,0,1,Low,True,,0,slow
unplanned,vehicle_breakdown,tumkur road,unknown,yeshwanthpura,lcv,19.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,others,tumkur road,unknown,yeshwanthpura,unknown,20.0,3.0,3.0,0,1,High,False,133.52983253333335,0,fast
unplanned,tree_fall,bellary road 1,unknown,high ground,unknown,20.0,3.0,3.0,0,1,High,False,1829.3005564666664,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,bellandur,bmtc_bus,21.0,1.0,1.0,0,1,High,False,55.541728516666666,0,fast
unplanned,congestion,irr(thanisandra road),unknown,jeevanbheemanagar,unknown,20.0,1.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,byatarayanapura,lcv,21.0,1.0,1.0,0,1,High,False,,0,fast
planned,construction,orr east 2,unknown,hal old airport,unknown,20.0,1.0,1.0,0,1,High,False,,0,slow
unplanned,vehicle_breakdown,bellary road 1,unknown,high ground,private_car,21.0,1.0,1.0,0,1,High,False,69.32987603333332,0,fast
unplanned,vehicle_breakdown,west of chord road,unknown,malleshwaram,truck,20.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,road_conditions,non-corridor,unknown,whitefield,unknown,21.0,1.0,1.0,0,1,Low,False,61.27697078333333,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,devanahalli airport,heavy_vehicle,19.0,1.0,1.0,0,1,Low,True,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,mahadevapura,private_car,22.0,1.0,1.0,0,1,Low,False,36.41233746666667,0,fast
unplanned,tree_fall,bellary road 1,unknown,high ground,unknown,20.0,3.0,3.0,0,1,High,False,1819.0784875333331,0,fast
unplanned,tree_fall,bellary road 1,unknown,high ground,unknown,20.0,3.0,3.0,0,1,High,False,1823.1111353833328,0,fast
unplanned,tree_fall,bellary road 1,unknown,high ground,unknown,20.0,3.0,3.0,0,1,High,False,1825.6380844833332,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,hal old airport,private_car,23.0,1.0,1.0,0,0,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,malleshwaram,unknown,20.0,3.0,3.0,0,1,Low,True,22124.802723566667,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,jnanabharathi,bmtc_bus,23.0,1.0,1.0,0,0,Low,False,83.22766023333334,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,peenya,bmtc_bus,21.0,1.0,1.0,0,1,Low,False,,0,fast
unplanned,pot_holes,cbd 1,unknown,shivajinagar,unknown,21.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,tree_fall,non-corridor,unknown,j.p. nagar,unknown,20.0,3.0,3.0,0,1,Low,False,321.23818236666665,0,fast
unplanned,pot_holes,unknown,unknown,hennuru,unknown,1.0,2.0,1.0,0,0,High,False,,0,slow
unplanned,pot_holes,orr north 1,unknown,hennuru,unknown,1.0,2.0,1.0,0,0,High,False,,0,slow
unplanned,vehicle_breakdown,west of chord road,unknown,vijayanagara,bmtc_bus,0.0,2.0,1.0,0,0,High,False,44.18835605,0,fast
unplanned,vehicle_breakdown,west of chord road,unknown,vijayanagara,bmtc_bus,0.0,2.0,1.0,0,0,High,False,41.797760616666665,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,chamarajpet,auto,1.0,2.0,1.0,0,0,Low,False,26.158530816666666,0,fast
unplanned,pot_holes,magadi road,unknown,kamakshipalya,unknown,23.0,1.0,1.0,0,0,High,False,8639.783111666668,0,slow
unplanned,others,non-corridor,unknown,byatarayanapura,unknown,23.0,1.0,1.0,0,0,Low,False,20609.415342416665,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,v.v.puram (c.pet),lcv,22.0,1.0,1.0,0,1,Low,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,rajajinagar,others,23.0,1.0,1.0,0,0,Low,False,,0,fast
unplanned,pot_holes,non-corridor,unknown,j.p. nagar,unknown,21.0,3.0,3.0,0,1,Low,False,5754.0936329333335,0,slow
unplanned,vehicle_breakdown,orr east 1,unknown,bellandur,bmtc_bus,23.0,1.0,1.0,0,0,High,True,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,no police station,heavy_vehicle,19.0,3.0,3.0,0,1,Low,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,devanahalli airport,heavy_vehicle,19.0,3.0,3.0,0,1,Low,False,,0,fast
unplanned,others,non-corridor,unknown,jnanabharathi,unknown,21.0,3.0,3.0,0,1,Low,False,15.88912515,0,fast
